,Text
72,"@AnumaVidisha Angrez kisi ka nahi hua- Ukraine ko dekh le aap. Also, when the war will come to us thanks to china pakistan we don't want Russia to add to that list. It may be the only balancing power then (not militarily obviously), because the west won't care"
73,'D…Shayari…Aap bhi 🤔👏🤣👏👏 https://t.co/SiLxipWGJy'
74,'@MalaikaNoor9632 Cricket ki bahot badi fan ho shayad aap'
75,'@AnwarLodhi Aap ki zindagi ka maqsad Imran se shoroo imran pe khatam.'
76,"'Bad Behavior of ""Gentry"" Muslim who grovels to Ali\'s feet in real life\n\nafter decades of badtameezi\n\nsays to Ali"
77,'@MirhaAfridi Jitne aap ko chahye'
78,'@monu17437 Verma ji
79,'💓sai AAP KA...IS BAR MCD BHI AAP KI 👍🙂 https://t.co/CPlOfbDutB'
80,'10th March ko AAP hi AAP ho jar jagah. Amen !'
81,'@pulkit164 @Nhiptakyarakhun @MaquboolAlam3 @gt62726646 @S7933Dinesh @ShyamMeeraSingh Pappu to pappu hai sab jaante hain
82,@SpeakingTigers Feel free to keep abusing and spit out hatred on success of #AAP .\nThat's all you can do irrespective of any remuneration .\nThanks
83,'Larkiyan itni bholi nahi Hoti Janab woh janti Hain Kahan bhaiya bolna hai or Kahan aap or Kahan Tum🤞🤞'
84,'@MindGoneBlanks aap ki urdu achi hai'
85,'@idevisch Individuele ploegen kunnen ook  nog afzeggen. Dan staat de bond voor aap. Maar zo gebeurt het gewoonlijk niet hé. I'
86,'waaruit blijkt dat..?\nwat mij betreft is dit een broodje aap verhaal en dus pure propaganda vanuit rusland. https://t.co/jkpz9arBlf'
87,'@dstylerider1 @LakhwaraRakesh @saswatmishra007 @Maqsood63697452 @ReallySwara Agar quran se kuch aisa share karo to mai clearification dunga hadeese 1lakh se zyada hai jo manipulated ki gayi hayi jiski koi sanad nahi hai jo fake hai mai wo bhi sabit karunga insha allah sab se pehle aap yeh samajh lo jaanlo ache se kafir matlab 1ishwer ko nai manne wala..'
88,'@beaastty Yes aunty aap hukum kareyn'
89,'@AamAadmiParty @BhagwantMann Shameless behaviour as always\n\n@NSO365 \n@ARanganathan72'
90,'@AamAadmiParty और केजरीवाल सरकार ही है जो बलात्कारियों को सिलाई मशीन और दस हज़ार सम्मान राशि देती है'
91,'@KeesjaapK @PvanHouwelingen Denk dat jij de linkse aap bent
92,'@maah_usa @MirMAKOfficial @ImranKhanPTI Aapki galti nai hai jiska PM har desh se help leta ho in form of money uski common people public kaise intelligent karegi btw aap china me toh nai ho mein suna Chinese are marrying pakistani girls 😂😂 lol'
93,'@Real_SumitKumar @ZelenskyyUa @narendramodi Ye vahi Ukraine hai jisne kuch din phle hi pakisthan ko diye tanks ko repair krne ki baat kahi ... Or aap log ye sab kar rhe ho pakisthan un tanks ka kya krne vala hai future me ..  Vo hi tanks apke desh me esi hi tabahi machne ke liye bne hai jo vha ho rahi hai'
94,'@AamAadmiParty Apne Pitaji ka kya jata hai 
95,'@NazirLeghari Sir bohat Mubarak Allah aap ki bati ko Khush rakhey'
96,'@gotozainab Jo bhi smjheen aap'
97,'Jaisay @arsched nay aap ki kut lagayee thi ? https://t.co/0DvQ9JaZmE'
98,'Mghe apne aap mai khone de aey Ishq yeh tamasha hoone de🥀💔'
99,'@krit_goossens @YoeriAlbrecht @schrijfdokter @Annelice22 Anders gezegd
100,'@aap_mayumi ご応募ありがとうございます！\n3/2まで使える「ウチカフェスイーツ各種20円引券」を差し上げます。ほっとひと息はウチカフェスイーツで♪\nクーポンの使い方:https://t.co/9BJkGLJhcM #ローソン https://t.co/CscGUfUrfw'
101,'@vinodkapri @narendramodi Expected from you
102,AAP HI AAP in Jandiala #PunjabPolls\nPunjab Election 2022 : ਕੌਣ ਜਿੱਤੇਗਾ ਜੰਡਿਆਲਾ ਦੀ 'ਜੰਗ' ? | News18 Punjab https://t.co/khafkc6ax3 via @YouTube
103,'Bas aap hi ki kami thi..... https://t.co/T9rF9UgdV0'
104,'@Notyourbaegurl Kia maa baap milkiyat hotey hain?\nJab maa baap ka sab aulad ka hai tu maa aap ka kuch tu haq hai aulad per\nJab aulad ko zarruat ho tu maa bap karty hai laiken jab ma bap ko sambhalny ka waqt aye tu aulad kiun pechy hatay?\nUnki wajah se hum hain humari wajah se wo ni'
105,'Aapki qadar wohi karte hain Jo aap se mohabbat karte hain 
106,'@NandanTelang @Real_SumitKumar @ZelenskyyUa @narendramodi Bhai hamari sharam hamari shoch or sanskriti ke sath hi khatam ho gayi ab aap kise bol rahe ho ??'
107,'Jab aap ek relationship mein hote ho.. ek dusre ki izzat aapke haatho mein hoti hai.. \n\nRULA DETI HAI X TEJRAN'
108,'@ANI Bhai log aap kahan the jab Pak 1999 me or China 2020 &amp; 2021 aggression dikha rahe the. Inka dusrw level ka doglapan he.'
109,'Khuda ki lathi be awaz hoti hai. \n\nALLAH kisko kis say zaleel karwata hai. \nReason to aap daikh hi rahay hain. https://t.co/uvATbiVBq7'
110,'@RakeshY20961198 @DrSJaishankar @PMOIndia @JM_Scindia Rakesh bhai we are with you ..\nWe all indians with you ..\nWe paru for your safety ...\nAur aap india aayenge 💯'
111,'@UWCforYouth @LambaAlka Bechrao ki jindagi aap aap katey niklegi'
112,'@uri_uriko_aap ご応募ありがとうございます！\n3/2まで使える「ウチカフェスイーツ各種20円引券」を差し上げます。ほっとひと息はウチカフェスイーツで♪\nクーポンの使い方:https://t.co/l48mJZWIfj #ローソン https://t.co/eCmgZowIsC'
113,'Congress do not forget that in 1972 when Indian national were kicked out \nYou had closed the embassy and left Indians helpless\nLook at Modiji he stood beside Indians and is helping to the extent \nJai ho Modiji \nSochha aap ko yad karadu'
114,'@PragyaLive Nhi aap ka wait kr rhe hai tweeter ya news pe bakchodi krne ke liye'
115,'“Kya aap gym jaati hain?” https://t.co/XFlDTPecTE'
116,'@Mystic_Soul25 @SK10940154 @wsk4193 @DipenKBhattach1 AAP ki tarah freebies ki dukan ni kholi na isliye.'
117,'@ChMudasirGujjar @SanaKrn Aap dono ki be jang chirr gai thi 😁'
118,'@AbhishekDelhika 118 for AAP confirm'
119,'@SudarshanNewsTV @yadavakhilesh @dimpleyadav madam aap yeh bhi kah hi do - Humare SP ke gunde logon ka khoon bhate hain.. isliye humare party ka rang laal hai.. aur iske sardar mere lal singh chadda..'
120,'@SaniyaSaniya0 Khala aap ne hame kyu nahi yaad kiya'
121,'@Pari_tania1 Shayri ki rani jb bi aao aap ki shayri zaroor hoti'
122,'@RajinderNagpa15 @AdvRajendraPal @ArvindKejriwal Best aap'
123,'@GrsalLasrg @syedpharmacist SALAAM YAA BAABUL HUSSAIN \nSALAAM YAA HUSSAIN \nLABBAIK YAA HUSSAIN \nMAULA WAARISS BIBI ZAAMIN ALLAAHIAAMEEN 🤲 \n\nMAULA AAP KE MUQADDAR AALAA KARAIN AUR BARQARAAR RAKHAIN HAR LIHAAZ SE
124,'@Mehwish_Ranii Aap ki duwa \nDm.aao'
